Images,Disc Area,Cup Area,Rim Area,Cup Height,Cup Width,Disc Height,Disc Width,ACDR,VCDR,HCDR,Glaucoma Decision
17521.jpg,113648,44815,68833,234,239,400,365,0.394,0.585,0.655,NORMAL
18499.jpg,144479,50264,94215,262,244,444,426,0.348,0.59,0.573,NORMAL
35977.jpg,111283,31002,80281,205,203,381,372,0.279,0.538,0.546,NORMAL
37749.jpg,148909,57685,91224,264,274,460,414,0.387,0.574,0.662,NORMAL
39636.jpg,157774,43676,114098,233,240,444,454,0.277,0.525,0.529,NORMAL
46109.jpg,146297,47064,99233,263,232,477,390,0.322,0.551,0.595,NORMAL
51763.jpg,142505,50943,91562,261,255,449,401,0.357,0.581,0.636,NORMAL
64744.jpg,113906,36475,77431,201,234,371,389,0.32,0.542,0.602,NORMAL
66557.jpg,169145,46449,122696,240,247,481,453,0.275,0.499,0.545,NORMAL
67239.jpg,129428,51332,78096,262,248,422,388,0.397,0.621,0.639,GLAUCOMA  SUSUPECT
69707.jpg,143681,64772,78909,324,264,447,413,0.451,0.725,0.639,GLAUCOMA  SUSUPECT
70718.jpg,143672,51556,92116,262,256,445,423,0.359,0.589,0.605,NORMAL
81590.jpg,132095,38747,93348,232,213,452,370,0.293,0.513,0.576,NORMAL
82021.jpg,149183,60224,88959,276,280,438,432,0.404,0.63,0.648,GLAUCOMA  SUSUPECT
IMG_2431.JPG,151831,34660,117171,206,219,459,418,0.228,0.449,0.524,NORMAL
IMG_2432.JPG,148463,58102,90361,262,280,460,410,0.391,0.57,0.683,NORMAL
IMG_2433.JPG,138147,55681,82466,251,270,438,404,0.403,0.573,0.668,GLAUCOMA  SUSUPECT
IMG_2434.JPG,142175,54475,87700,271,262,461,386,0.383,0.588,0.679,NORMAL
IMG_2438.JPG,153419,31915,121504,206,204,486,410,0.208,0.424,0.498,NORMAL
IMG_2439.JPG,131305,40030,91275,236,224,409,398,0.305,0.577,0.563,NORMAL
IMG_2440.JPG,133022,45427,87595,238,226,424,396,0.341,0.561,0.571,NORMAL
IMG_2443.JPG,162369,50093,112276,266,240,470,438,0.309,0.566,0.548,NORMAL
IMG_2444.JPG,148657,50515,98142,248,254,449,427,0.34,0.552,0.595,NORMAL
IMG_2445.JPG,136302,45939,90363,277,220,417,413,0.337,0.664,0.533,GLAUCOMA  SUSUPECT
IMG_2446.JPG,140605,41532,99073,214,244,428,419,0.295,0.5,0.582,NORMAL
IMG_2447.JPG,140556,52090,88466,236,271,408,434,0.371,0.578,0.624,NORMAL
IMG_2448.JPG,127663,40783,86880,207,256,403,404,0.319,0.514,0.634,NORMAL
IMG_2449.JPG,160307,73001,87306,282,336,462,444,0.455,0.61,0.757,GLAUCOMA  SUSUPECT
IMG_2450.JPG,137472,57481,79991,254,290,435,400,0.418,0.584,0.725,GLAUCOMA  SUSUPECT
IMG_2451.JPG,133551,39225,94326,234,217,446,377,0.294,0.525,0.576,NORMAL
IMG_2452.JPG,146760,49746,97014,257,241,458,399,0.339,0.561,0.604,NORMAL
IMG_2453.JPG,185520,64626,120894,278,302,496,482,0.348,0.56,0.627,NORMAL
IMG_2454.JPG,191206,62601,128605,277,288,523,451,0.327,0.53,0.639,NORMAL
IMG_2456.JPG,124327,31774,92553,218,196,458,349,0.256,0.476,0.562,NORMAL
IMG_2457.JPG,163777,40038,123739,224,222,469,437,0.244,0.478,0.508,NORMAL
IMG_2458.JPG,162282,58410,103872,264,285,456,456,0.36,0.579,0.625,NORMAL
IMG_2459.JPG,133934,57476,76458,280,254,441,388,0.429,0.635,0.655,GLAUCOMA  SUSUPECT
IMG_2460.JPG,150487,70591,79896,305,290,460,412,0.469,0.663,0.704,GLAUCOMA  SUSUPECT
IMG_2463.JPG,172869,76808,96061,316,296,509,431,0.444,0.621,0.687,GLAUCOMA  SUSUPECT
IMG_2464.JPG,167397,66562,100835,296,286,491,436,0.398,0.603,0.656,GLAUCOMA  SUSUPECT
IMG_2465.JPG,131512,43867,87645,218,251,409,413,0.334,0.533,0.608,NORMAL
IMG_2466.JPG,127782,45398,82384,236,250,415,398,0.355,0.569,0.628,NORMAL
IMG_2467.JPG,176094,66971,109123,310,264,524,415,0.38,0.592,0.636,NORMAL
IMG_2468.JPG,170228,65503,104725,309,277,518,425,0.385,0.597,0.652,NORMAL
IMG_2469.JPG,152817,50563,102254,255,251,445,430,0.331,0.573,0.584,NORMAL
IMG_2470.JPG,162378,58313,104065,253,280,452,446,0.359,0.56,0.628,NORMAL
IMG_2471.JPG,131498,40612,90886,236,215,437,382,0.309,0.54,0.563,NORMAL
IMG_2472.JPG,123632,43706,79926,233,233,418,372,0.354,0.557,0.626,NORMAL
IMG_2475.JPG,147084,42914,104170,224,239,460,409,0.292,0.487,0.584,NORMAL
IMG_2476.JPG,154122,52979,101143,268,255,468,422,0.344,0.573,0.604,NORMAL
IMG_2477.JPG,142254,44125,98129,236,241,456,398,0.31,0.518,0.606,NORMAL
IMG_2478.JPG,133581,51317,82264,254,258,430,406,0.384,0.591,0.635,NORMAL
IMG_2479.JPG,119304,42445,76859,241,215,402,381,0.356,0.6,0.564,NORMAL
IMG_2480.JPG,134758,61887,72871,273,281,408,416,0.459,0.669,0.675,GLAUCOMA  SUSUPECT
IMG_2481.JPG,134726,47333,87393,229,262,420,413,0.351,0.545,0.634,NORMAL
IMG_2482.JPG,124046,41800,82246,216,231,413,381,0.337,0.523,0.606,NORMAL
IMG_2483.JPG,117241,30554,86687,206,190,380,374,0.261,0.542,0.508,NORMAL
IMG_2484.JPG,173864,44932,128932,237,245,487,454,0.258,0.487,0.54,NORMAL
IMG_2485.JPG,144572,44129,100443,240,237,437,410,0.305,0.549,0.578,NORMAL
IMG_2486.JPG,113441,38147,75294,216,225,398,356,0.336,0.543,0.632,NORMAL
IMG_2487.JPG,108439,28478,79961,192,186,395,346,0.263,0.486,0.538,NORMAL
IMG_2488.JPG,138826,33571,105255,189,218,408,432,0.242,0.463,0.505,NORMAL
IMG_2489.JPG,143661,35444,108217,196,241,433,425,0.247,0.453,0.567,NORMAL
IMG_2490.JPG,146801,52698,94103,260,251,432,436,0.359,0.602,0.576,GLAUCOMA  SUSUPECT
IMG_2491.JPG,149152,49238,99914,250,252,446,426,0.33,0.561,0.592,NORMAL
IMG_2492.JPG,113102,27872,85230,190,183,383,377,0.246,0.496,0.485,NORMAL
IMG_2493.JPG,111224,25217,86007,174,181,389,355,0.227,0.447,0.51,NORMAL
IMG_2494.JPG,88719,27814,60905,200,174,369,306,0.314,0.542,0.569,NORMAL
IMG_2495.JPG,100497,33459,67038,201,212,390,325,0.333,0.515,0.652,NORMAL
IMG_2496.JPG,165501,54693,110808,265,266,503,434,0.33,0.527,0.613,NORMAL
IMG_2497.JPG,165531,51932,113599,250,268,470,446,0.314,0.532,0.601,NORMAL
IMG_2498.JPG,146284,58104,88180,282,265,426,437,0.397,0.662,0.606,GLAUCOMA  SUSUPECT
IMG_2499.JPG,138702,54869,83833,263,264,431,413,0.396,0.61,0.639,GLAUCOMA  SUSUPECT
IMG_2500.JPG,182757,63762,118995,266,299,509,465,0.349,0.523,0.643,NORMAL
IMG_2501.JPG,136675,34049,102626,202,220,445,399,0.249,0.454,0.551,NORMAL
IMG_2502.JPG,165649,57352,108297,264,274,462,453,0.346,0.571,0.605,NORMAL
IMG_2503.JPG,178323,55753,122570,260,276,498,468,0.313,0.522,0.59,NORMAL
IMG_2504.JPG,157071,53685,103386,278,244,476,419,0.342,0.584,0.582,NORMAL
IMG_2505.JPG,164202,56953,107249,273,273,474,439,0.347,0.576,0.622,NORMAL
IMG_2506.JPG,119410,34258,85152,210,216,389,382,0.287,0.54,0.565,NORMAL
IMG_2507.JPG,121093,39222,81871,242,207,424,365,0.324,0.571,0.567,NORMAL
IMG_2508.JPG,127809,37244,90565,206,213,418,390,0.291,0.493,0.546,NORMAL
IMG_2509.JPG,118595,35372,83223,213,224,388,386,0.298,0.549,0.58,NORMAL
IMG_2510.JPG,140199,55079,85120,274,259,447,398,0.393,0.613,0.651,GLAUCOMA  SUSUPECT
IMG_2511.JPG,151933,50543,101390,244,259,468,420,0.333,0.521,0.617,NORMAL
IMG_2512.JPG,119841,38123,81718,216,216,417,367,0.318,0.518,0.589,NORMAL
IMG_2516.JPG,173847,58742,115105,252,300,469,473,0.338,0.537,0.634,NORMAL
IMG_2519.JPG,161394,55048,106346,246,274,468,436,0.341,0.526,0.628,NORMAL
IMG_2520.JPG,144794,55278,89516,264,270,437,430,0.382,0.604,0.628,GLAUCOMA  SUSUPECT
IMG_2521.JPG,153823,62512,91311,290,275,474,405,0.406,0.612,0.679,GLAUCOMA  SUSUPECT
IMG_2522.JPG,178059,74970,103089,300,323,496,444,0.421,0.605,0.727,GLAUCOMA  SUSUPECT
IMG_2523.JPG,136052,43192,92860,232,237,423,406,0.317,0.548,0.584,NORMAL
IMG_2524.JPG,132733,34369,98364,216,200,424,396,0.259,0.509,0.505,NORMAL
IMG_2525.JPG,130711,53980,76731,263,258,422,397,0.413,0.623,0.65,GLAUCOMA  SUSUPECT
IMG_2526.JPG,123738,33347,90391,208,208,406,381,0.269,0.512,0.546,NORMAL
IMG_2527.JPG,185149,88434,96715,349,317,482,485,0.478,0.724,0.654,GLAUCOMA  SUSUPECT
IMG_2528.JPG,190404,98853,91551,354,361,495,477,0.519,0.715,0.757,GLAUCOMA  SUSUPECT
IMG_2529.JPG,157530,69249,88281,291,310,436,444,0.44,0.667,0.698,GLAUCOMA  SUSUPECT
IMG_2530.JPG,158012,73833,84179,284,322,449,454,0.467,0.633,0.709,GLAUCOMA  SUSUPECT
IMG_2531.JPG,128329,30172,98157,190,203,407,411,0.235,0.467,0.494,NORMAL
IMG_2532.JPG,133067,47345,85722,214,279,422,405,0.356,0.507,0.689,NORMAL
IMG_2533.JPG,147666,67759,79907,297,287,459,411,0.459,0.647,0.698,GLAUCOMA  SUSUPECT
IMG_2534.JPG,126082,58468,67614,276,272,430,386,0.464,0.642,0.705,GLAUCOMA  SUSUPECT
IMG_2535.JPG,131171,41039,90132,212,254,404,401,0.313,0.525,0.633,NORMAL
IMG_2536.JPG,129354,41020,88334,231,228,411,387,0.317,0.562,0.589,NORMAL
IMG_2537.JPG,141062,69263,71799,289,295,446,395,0.491,0.648,0.747,GLAUCOMA  SUSUPECT
IMG_2538.JPG,147568,67392,80176,289,295,442,403,0.457,0.654,0.732,GLAUCOMA  SUSUPECT
IMG_2539.JPG,137382,53716,83666,253,268,446,394,0.391,0.567,0.68,NORMAL
IMG_2540.JPG,142929,57843,85086,256,287,461,406,0.405,0.555,0.707,GLAUCOMA  SUSUPECT
IMG_2541.JPG,150807,40878,109929,232,228,483,407,0.271,0.48,0.56,NORMAL
IMG_2542.JPG,176318,54427,121891,280,254,529,429,0.309,0.529,0.592,NORMAL
IMG_2543.JPG,129692,42872,86820,240,229,454,353,0.331,0.529,0.649,NORMAL
IMG_2544.JPG,139214,48071,91143,241,254,451,395,0.345,0.534,0.643,NORMAL
IMG_2545.JPG,158021,54070,103951,255,261,449,453,0.342,0.568,0.576,NORMAL
IMG_2546.JPG,196666,73390,123276,313,292,530,483,0.373,0.591,0.605,NORMAL
IMG_2547.JPG,170015,62016,107999,281,285,487,446,0.365,0.577,0.639,NORMAL
IMG_2548.JPG,169024,58836,110188,274,281,475,451,0.348,0.577,0.623,NORMAL
IMG_2549.JPG,150807,67478,83329,292,301,445,434,0.447,0.656,0.694,GLAUCOMA  SUSUPECT
IMG_2550.JPG,136263,40097,96166,209,246,432,400,0.294,0.484,0.615,NORMAL
IMG_2551.JPG,204562,108568,95994,345,380,516,500,0.531,0.669,0.76,GLAUCOMA  SUSUPECT
IMG_2552.JPG,204366,90862,113504,313,376,508,499,0.445,0.616,0.754,GLAUCOMA  SUSUPECT
IMG_2553.JPG,140823,39201,101622,217,219,428,412,0.278,0.507,0.532,NORMAL
IMG_2554.JPG,130590,36112,94478,198,218,410,397,0.277,0.483,0.549,NORMAL
IMG_2555.JPG,136908,59578,77330,253,300,402,441,0.435,0.629,0.68,GLAUCOMA  SUSUPECT
IMG_2556.JPG,130231,61117,69114,277,275,411,395,0.469,0.674,0.696,GLAUCOMA  SUSUPECT
IMG_2557.JPG,147011,44022,102989,260,228,450,409,0.299,0.578,0.557,NORMAL
IMG_2558.JPG,161974,53712,108262,271,254,463,443,0.332,0.585,0.573,NORMAL
IMG_2559.JPG,171485,66832,104653,283,289,486,430,0.39,0.582,0.672,NORMAL
IMG_2560.JPG,154702,62527,92175,278,287,452,424,0.404,0.615,0.677,GLAUCOMA  SUSUPECT
IMG_2561.JPG,152072,51544,100528,261,257,441,434,0.339,0.592,0.592,NORMAL
IMG_2562.JPG,129719,32958,96761,214,198,423,391,0.254,0.506,0.506,NORMAL
IMG_2563.JPG,162400,64874,97526,260,332,434,482,0.399,0.599,0.689,NORMAL
IMG_2564.JPG,155840,58816,97024,274,267,446,448,0.377,0.614,0.596,GLAUCOMA  SUSUPECT
IMG_2565.JPG,148310,37939,110371,230,219,423,443,0.256,0.544,0.494,NORMAL
IMG_2566.JPG,134293,36007,98286,193,232,396,423,0.268,0.487,0.548,NORMAL
IMG_2567.JPG,123102,35006,88096,208,222,417,379,0.284,0.499,0.586,NORMAL
IMG_2568.JPG,123902,36785,87117,230,209,430,374,0.297,0.535,0.559,NORMAL
IMG_2569.JPG,155224,58298,96926,252,279,447,415,0.376,0.564,0.672,NORMAL
IMG_2570.JPG,131928,34794,97134,216,202,439,392,0.264,0.492,0.515,NORMAL
IMG_2571.JPG,143897,43191,100706,248,228,455,400,0.3,0.545,0.57,NORMAL
IMG_2572.JPG,121055,37910,83145,227,212,415,368,0.313,0.547,0.576,NORMAL
IMG_2573.JPG,138851,44262,94589,231,245,448,404,0.319,0.516,0.606,NORMAL
IMG_2574.JPG,113213,25591,87622,174,184,392,370,0.226,0.444,0.497,NORMAL
IMG_2575.JPG,115424,28022,87402,188,187,388,372,0.243,0.485,0.503,NORMAL
IMG_2576.JPG,124358,44051,80307,251,224,429,369,0.354,0.585,0.607,NORMAL
IMG_2577.JPG,170912,79265,91647,286,352,458,474,0.464,0.624,0.743,GLAUCOMA  SUSUPECT
IMG_2578.JPG,168762,73632,95130,288,321,457,472,0.436,0.63,0.68,GLAUCOMA  SUSUPECT
IMG_2579.JPG,142224,40048,102176,230,219,500,377,0.282,0.46,0.581,NORMAL
IMG_2580.JPG,122747,40348,82399,223,232,413,391,0.329,0.54,0.593,NORMAL
IMG_2581.JPG,187751,99172,88579,327,369,474,488,0.528,0.69,0.756,GLAUCOMA  SUSUPECT
IMG_2582.JPG,196336,87634,108702,340,332,504,491,0.446,0.675,0.676,GLAUCOMA  SUSUPECT
IMG_2583.JPG,151921,42465,109456,244,219,470,410,0.28,0.519,0.534,NORMAL
IMG_2584.JPG,133016,33787,99229,216,197,434,380,0.254,0.498,0.518,NORMAL
IMG_2585.JPG,146841,46401,100440,255,238,455,400,0.316,0.56,0.595,NORMAL
IMG_2586.JPG,130393,45280,85113,254,228,442,378,0.347,0.575,0.603,NORMAL
IMG_2587.JPG,116205,26854,89351,186,194,432,359,0.231,0.431,0.54,NORMAL
IMG_2588.JPG,126625,30974,95651,194,197,433,377,0.245,0.448,0.523,NORMAL
IMG_2589.JPG,126250,16060,110190,148,147,389,413,0.127,0.38,0.356,NORMAL
IMG_2590.JPG,118514,23075,95439,174,173,387,389,0.195,0.45,0.445,NORMAL
IMG_2591.JPG,115255,23425,91830,168,178,405,368,0.203,0.415,0.484,NORMAL
IMG_2592.JPG,113618,18244,95374,145,170,408,365,0.161,0.355,0.466,NORMAL
IMG_2593.JPG,124502,18425,106077,160,146,445,370,0.148,0.36,0.395,NORMAL
IMG_2594.JPG,117156,17309,99847,137,165,417,383,0.148,0.329,0.431,NORMAL
IMG_2597.JPG,106160,10228,95932,106,136,387,358,0.096,0.274,0.38,NORMAL
IMG_2598.JPG,131480,41573,89907,218,243,421,403,0.316,0.518,0.603,NORMAL
IMG_2599.JPG,123731,28598,95133,181,201,387,411,0.231,0.468,0.489,NORMAL
IMG_2600.JPG,139420,22259,117161,157,182,453,401,0.16,0.347,0.454,NORMAL
IMG_2601.JPG,122068,20319,101749,134,193,418,385,0.166,0.321,0.501,NORMAL
IMG_2604.JPG,161014,28124,132890,204,183,489,416,0.175,0.417,0.44,NORMAL
IMG_2605.JPG,174319,44437,129882,256,243,505,441,0.255,0.507,0.551,NORMAL
IMG_2606.JPG,210124,87434,122690,346,310,553,492,0.416,0.626,0.63,GLAUCOMA  SUSUPECT
IMG_2607.JPG,198927,79550,119377,351,293,527,478,0.4,0.666,0.613,GLAUCOMA  SUSUPECT
IMG_2608.JPG,153733,36264,117469,213,225,437,446,0.236,0.487,0.504,NORMAL
IMG_2610.JPG,146037,33963,112074,214,210,458,409,0.233,0.467,0.513,NORMAL
IMG_2611.JPG,151766,41000,110766,233,230,461,422,0.27,0.505,0.545,NORMAL
IMG_2612.JPG,130132,17884,112248,146,156,444,380,0.137,0.329,0.411,NORMAL
IMG_2613.JPG,123077,19200,103877,153,171,408,377,0.156,0.375,0.454,NORMAL
IMG_2614.JPG,164662,72076,92586,309,300,476,440,0.438,0.649,0.682,GLAUCOMA  SUSUPECT
IMG_2615.JPG,142063,51782,90281,271,249,447,418,0.365,0.606,0.596,GLAUCOMA  SUSUPECT
IMG_2616.JPG,223078,75270,147808,314,304,560,512,0.337,0.561,0.594,NORMAL
IMG_2617.JPG,235192,82193,152999,317,321,564,539,0.349,0.562,0.596,NORMAL
IMG_2618.JPG,144365,31860,112505,187,220,430,432,0.221,0.435,0.509,NORMAL
IMG_2619.JPG,149884,41059,108825,225,237,449,420,0.274,0.501,0.564,NORMAL
IMG_2620.JPG,169270,46100,123170,256,236,493,441,0.272,0.519,0.535,NORMAL
IMG_2621.JPG,170027,49868,120159,239,273,499,440,0.293,0.479,0.62,NORMAL
IMG_2622.JPG,188529,62903,125626,263,308,491,504,0.334,0.536,0.611,NORMAL
IMG_2623.JPG,192230,55512,136718,253,283,498,497,0.289,0.508,0.569,NORMAL
IMG_2626.JPG,148723,52529,96194,277,254,465,427,0.353,0.596,0.595,NORMAL
IMG_2627.JPG,155074,52893,102181,262,264,458,438,0.341,0.572,0.603,NORMAL
IMG_2628.JPG,166603,37514,129089,205,237,474,463,0.225,0.432,0.512,NORMAL
IMG_2629.JPG,167354,33476,133878,194,224,465,458,0.2,0.417,0.489,NORMAL
IMG_2630.JPG,144914,39246,105668,215,235,428,435,0.271,0.502,0.54,NORMAL
IMG_2631.JPG,138422,34919,103503,194,231,427,423,0.252,0.454,0.546,NORMAL
IMG_2632.JPG,166473,56483,109990,287,260,481,437,0.339,0.597,0.595,NORMAL
IMG_2633.JPG,170442,60470,109972,274,283,489,450,0.355,0.56,0.629,NORMAL
IMG_2634.JPG,145874,41593,104281,239,220,464,395,0.285,0.515,0.557,NORMAL
IMG_2635.JPG,148001,51583,96418,264,245,445,427,0.349,0.593,0.574,NORMAL
IMG_2636.JPG,163879,64296,99583,288,274,480,440,0.392,0.6,0.623,NORMAL
IMG_2637.JPG,137422,31304,106118,196,198,428,406,0.228,0.458,0.488,NORMAL
IMG_2638.JPG,139601,24712,114889,174,178,416,421,0.177,0.418,0.423,NORMAL
IMG_2639.JPG,150454,31086,119368,206,200,458,418,0.207,0.45,0.478,NORMAL
IMG_2640.JPG,162551,42259,120292,237,223,482,441,0.26,0.492,0.506,NORMAL
IMG_2641.JPG,136701,30565,106136,210,193,432,393,0.224,0.486,0.491,NORMAL
IMG_2642.JPG,131860,25954,105906,197,167,431,393,0.197,0.457,0.425,NORMAL
IMG_2643.JPG,139796,26604,113192,226,159,465,377,0.19,0.486,0.422,NORMAL
IMG_2645.JPG,134625,44548,90077,239,234,438,385,0.331,0.546,0.608,NORMAL
IMG_2646.JPG,140404,46369,94035,252,235,449,384,0.33,0.561,0.612,NORMAL
IMG_2647.JPG,175531,54360,121171,253,280,448,491,0.31,0.565,0.57,NORMAL
IMG_2648.JPG,160126,53964,106162,237,293,422,488,0.337,0.562,0.6,NORMAL
IMG_2649.JPG,100361,29790,70571,198,192,354,354,0.297,0.559,0.542,NORMAL
IMG_2650.JPG,97151,20839,76312,189,157,358,343,0.215,0.528,0.458,NORMAL
IMG_2652.JPG,128393,37234,91159,214,226,444,369,0.29,0.482,0.612,NORMAL
IMG_2657.JPG,161892,52594,109298,248,270,460,448,0.325,0.539,0.603,NORMAL
IMG_2658.JPG,168168,43126,125042,238,226,484,446,0.256,0.492,0.507,NORMAL
IMG_2659.JPG,145686,49409,96277,265,241,463,412,0.339,0.572,0.585,NORMAL
IMG_2660.JPG,162226,53791,108435,269,248,487,429,0.332,0.552,0.578,NORMAL
IMG_2662.JPG,207621,87782,119839,350,326,538,491,0.423,0.651,0.664,GLAUCOMA  SUSUPECT
IMG_2663.JPG,132762,44280,88482,248,231,428,399,0.334,0.579,0.579,NORMAL
IMG_2664.JPG,138492,46129,92363,265,217,468,383,0.333,0.566,0.567,NORMAL
IMG_2665.JPG,153428,41980,111448,242,221,460,432,0.274,0.526,0.512,NORMAL
IMG_2666.JPG,152632,49048,103584,243,255,461,421,0.321,0.527,0.606,NORMAL
IMG_2667.JPG,126283,25999,100284,165,201,426,375,0.206,0.387,0.536,NORMAL
IMG_2668.JPG,135130,31190,103940,196,202,434,391,0.231,0.452,0.517,NORMAL
IMG_2669.JPG,196329,49368,146961,253,245,537,481,0.251,0.471,0.509,NORMAL
IMG_2670.JPG,164293,43345,120948,243,227,494,434,0.264,0.492,0.523,NORMAL
IMG_2671.JPG,144369,33734,110635,217,200,458,391,0.234,0.474,0.512,NORMAL
IMG_2672.JPG,144571,34619,109952,199,215,446,402,0.239,0.446,0.535,NORMAL
IMG_2673.JPG,130962,32915,98047,200,219,429,386,0.251,0.466,0.567,NORMAL
IMG_2674.JPG,141414,38958,102456,210,232,438,413,0.275,0.479,0.562,NORMAL
IMG_2677.JPG,100046,24008,76038,166,187,343,371,0.24,0.484,0.504,NORMAL
IMG_2678.JPG,108969,23739,85230,174,174,384,354,0.218,0.453,0.492,NORMAL
IMG_2679.JPG,153853,52621,101232,261,249,478,412,0.342,0.546,0.604,NORMAL
IMG_2680.JPG,146225,55047,91178,268,258,460,413,0.376,0.583,0.625,NORMAL
IMG_2681.JPG,185767,61898,123869,274,282,501,479,0.333,0.547,0.589,NORMAL
IMG_2682.JPG,199179,56271,142908,280,253,535,473,0.283,0.523,0.535,NORMAL
IMG_2683.JPG,163217,47835,115382,248,254,457,461,0.293,0.543,0.551,NORMAL
IMG_2684.JPG,179998,54567,125431,278,251,491,467,0.303,0.566,0.537,NORMAL
IMG_2685.JPG,123169,31989,91180,198,207,402,390,0.26,0.493,0.531,NORMAL
IMG_2686.JPG,122496,34106,88390,218,204,410,370,0.278,0.532,0.551,NORMAL
IMG_2687.JPG,157028,36408,120620,216,208,486,417,0.232,0.444,0.499,NORMAL
IMG_2688.JPG,152345,36107,116238,234,200,487,408,0.237,0.48,0.49,NORMAL
IMG_2689.JPG,142423,37156,105267,216,222,431,432,0.261,0.501,0.514,NORMAL
IMG_2690.JPG,127390,33551,93839,205,219,404,404,0.263,0.507,0.542,NORMAL
IMG_2692.JPG,139560,39931,99629,253,220,463,391,0.286,0.546,0.563,NORMAL
IMG_2695.JPG,102168,31117,71051,199,205,370,349,0.305,0.538,0.587,NORMAL
IMG_2696.JPG,121384,46300,75084,276,222,412,374,0.381,0.67,0.594,GLAUCOMA  SUSUPECT
IMG_2698.JPG,117814,39132,78682,243,212,396,373,0.332,0.614,0.568,GLAUCOMA  SUSUPECT
IMG_2699.JPG,131189,30921,100268,173,220,409,405,0.236,0.423,0.543,NORMAL
IMG_2700.JPG,139638,26999,112639,196,185,438,403,0.193,0.447,0.459,NORMAL
IMG_2701.JPG,225838,88727,137111,354,318,547,523,0.393,0.647,0.608,GLAUCOMA  SUSUPECT
IMG_2702.JPG,186581,67231,119350,300,293,506,454,0.36,0.593,0.645,NORMAL
IMG_2703.JPG,122126,25685,96441,186,175,405,378,0.21,0.459,0.463,NORMAL
IMG_2704.JPG,125740,33824,91916,213,224,411,389,0.269,0.518,0.576,NORMAL
IMG_2705.JPG,152930,40788,112142,208,245,434,445,0.267,0.479,0.551,NORMAL
IMG_2706.JPG,138899,34957,103942,195,243,418,426,0.252,0.467,0.57,NORMAL
IMG_2707.JPG,110599,23249,87350,183,165,393,359,0.21,0.466,0.46,NORMAL
IMG_2708.JPG,120736,23566,97170,162,184,397,385,0.195,0.408,0.478,NORMAL
IMG_2709.JPG,102587,23868,78719,177,173,378,346,0.233,0.468,0.5,NORMAL
IMG_2710.JPG,116340,23484,92856,190,165,400,370,0.202,0.475,0.446,NORMAL
IMG_2711.JPG,130502,33822,96680,215,207,424,391,0.259,0.507,0.529,NORMAL
IMG_2712.JPG,118625,26059,92566,184,178,410,377,0.22,0.449,0.472,NORMAL
IMG_2713.JPG,204681,72050,132631,322,280,537,484,0.352,0.6,0.579,NORMAL
IMG_2714.JPG,189379,65847,123532,309,280,532,465,0.348,0.581,0.602,NORMAL
IMG_2715.JPG,151778,33894,117884,218,209,450,433,0.223,0.484,0.483,NORMAL
IMG_2716.JPG,144932,30404,114528,194,205,437,424,0.21,0.444,0.483,NORMAL
IMG_2717.JPG,106092,24563,81529,180,176,385,339,0.232,0.468,0.519,NORMAL
IMG_2718.JPG,116602,32072,84530,208,203,409,356,0.275,0.509,0.57,NORMAL
IMG_2719.JPG,153039,58628,94411,272,279,443,449,0.383,0.614,0.621,GLAUCOMA  SUSUPECT
IMG_2720.JPG,169916,63313,106603,288,282,467,462,0.373,0.617,0.61,GLAUCOMA  SUSUPECT
IMG_2721.JPG,137463,34442,103021,198,218,420,422,0.251,0.471,0.517,NORMAL
